sourcePostId,sourceUrl,publishedAt,origin,brand,model,year,trim,mileage,engine,powerHp,consumption,transmission,drive,safety,interior,damage,vin,auctionDate,estimatedBidUsd,priceRub,customsRub,lot,calculationDate,photos,rawText
2665,https://t.me/AutoWorld_Georgia/2665,2026-06-07T15:24:01+00:00,США,на,,2006,Base,23500ml,"2.0l, на 152HP",152.0,,CVT,полный АWD,"""",надежный текстиль,"""ГРАД""",4S3GKAB64N3608898,09.06.2026,,1750000,,,07.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/main-1790168594016-main-1-ce44bddc.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168594977-other-2-5dcf00d2.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168595933-other-3-4fa81869.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168596889-other-4-5a83346d.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168597833-other-5-3ff0ed91.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168598709-other-6-1d34a657.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168599685-other-7-629b545e.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168600585-other-8-05f88af0.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168601413-other-9-451f78a9.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2665/other-1790168602361-other-10-f8eacaa5.jpg,"👤
👤
👤
👤
👤
👤
👤
на 09.06
🌟
Subaru Impreza 05/22г.
🚙
✨
1️⃣
🤩
6️⃣
5️⃣
🔤
🔤
🔤
*
🔹
комплектация
Base
🔹
Пробег:
23500ml
👍
🔹
Двигатель:
2.0l, на 152HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод:
полный АWD
🔹
Безопасность: ""
завод
""
🛡
🔹
Салон
надежный текстиль
🛋
🔹
Повреждения
""ГРАД""
📜
История автомобиля
👇
4S3GKAB64N3608898
⚖️
🛎
Торги 09.06.2026г.
+- 5500
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 1,75 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
475тыс.руб.
🔎
0-45157465
расчёт 07.06.2026г.
💵
77
https://max.ru/c/-71046904611051/AZ6itADtSTw"
2675,https://t.me/AutoWorld_Georgia/2675,2026-06-07T16:25:23+00:00,США,на,,2006,Sport,30800ml,"2.0l, на 152HP",152.0,,РКПП,полный АWD,"""",надежный текстиль,"""ГРАД""",4S3GTAJ69N1723507,10.06.2026,,1700000,,,06.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/main-1790168603517-main-1-35fdf739.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168604665-other-2-a28f4f5c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168605801-other-3-14e35689.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168606703-other-4-740c4174.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168607358-other-5-45a3e02b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168608193-other-6-0584d732.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168609149-other-7-45f6e8b5.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168610285-other-8-9830dd01.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168611254-other-9-a9e13930.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2675/other-1790168612205-other-10-523d90df.jpg,"👤
👤
👤
👤
👤
👤
👤
на 10.06
🌟
Subaru Impreza 05/22г.
🚙
✨
1️⃣
🤩
6️⃣
🔤
🔤
🔤
*
🔹
комплектация
Sport
🔹
Пробег:
30800ml
👍
🔹
Двигатель:
2.0l, на 152HP
🐎
💨
🔹
Коробка:
РКПП
♦️
🔹
Привод:
полный АWD
🔹
Безопасность: ""
завод
""
🛡
🔹
Салон
надежный текстиль
🛋
🔹
Повреждения
""ГРАД""
📜
История автомобиля
👇
4S3GTAJ69N1723507
⚖️
🛎
Торги 10.06.2026г.
+- 5000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 1,7 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
475тыс.руб.
🔎
0-45258431
расчёт 06.06.2026г.
💵
77
https://max.ru/c/-71046904611051/AZ6i6sdFFAQ"
2685,https://t.me/AutoWorld_Georgia/2685,2026-06-07T17:35:40+00:00,США,на,,2006,XLT,30400ml,"6.7l, на 475HP",475.0,,AКПП-10,полный АWD,"""",надежный текстиль,"""механич.""",1FT8W3BT6SED72720,08.06.2026,,6430000,,,06.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/main-1790168613719-main-1-cebbe3cd.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168615072-other-2-ca415ddf.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168616291-other-3-5bff8668.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168617630-other-4-79be8bb0.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168619030-other-5-a467331c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168620222-other-6-724299a0.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168621252-other-7-298a06a5.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168622160-other-8-026131e2.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168622864-other-9-d15680a3.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2685/other-1790168624066-other-10-9a872491.jpg,"👤
👤
👤
👤
👤
👤
👤
на 08.06
🌟
FORD F350 Super Duty 05/25г.
🚙
✨
6️⃣
🤩
1️⃣
3️⃣
🔤
🔤
🔤
*
🔹
комплектация
XLT
🔹
Пробег:
30400ml
👍
🔹
Двигатель:
6.7l, на 475HP
🐎
💨
🔹
Коробка:
AКПП-10
♦️
🔹
Привод:
полный АWD
🔹
Безопасность: ""
завод
""
🛡
🔹
Салон
надежный текстиль
🛋
🔹
Повреждения
""механич.""
📜
История автомобиля
👇
1FT8W3BT6SED72720
⚖️
🛎
Торги 08.06.2026г.
+- 35000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 6,43 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
2300тыс.руб.
🔎
1-54961826
расчёт 06.06.2026г.
💵
77
https://max.ru/c/-71046904611051/AZ6jK6aQfbM"
2695,https://t.me/AutoWorld_Georgia/2695,2026-06-07T19:22:31+00:00,США,на,,2006,,28100ml,"2,0l, на 255HP",255.0,,AКПП-9,полный 4MATIC,"""",кожа,"""",4JGFB4FB1SB479133,08.06.2026,,,,,07.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/main-1790168625082-main-1-c9b9e640.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168625827-other-2-55ca104c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168626443-other-3-be8336cb.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168627129-other-4-9381bb2c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168627761-other-5-63a56848.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168628396-other-6-3a629e4d.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168628982-other-7-14e5a372.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168629648-other-8-c6e63557.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168630228-other-9-6deecf20.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2695/other-1790168630836-other-10-8a1d671a.jpg,"👤
👤
👤
👤
👤
👤
👤
на 08.06
🌟
Mercedes-Benz GLE 350 2025г.
🚙
✨
7️⃣
🤩
8️⃣
4️⃣
🔤
🔤
🔤
*
🔹
Пробег:
28100ml
👍
🔹
Двигатель:
2,0l, на 255HP
🐎
💨
🔹
Коробка:
AКПП-9
🔹
Привод:
полный 4MATIC
🔹
Безопасность: ""
завод
""
🛡
🔹
Салон
кожа
🛋
🔹
Повреждения ""
ЦЕЛЫЙ
""
🔺
(автомобиль с MANHEIM)
📜
История автомобиля
4JGFB4FB1SB479133
⚖️
🛎
Торги 08.06.2026г.
BUY NOW
♦️
4⃣
9⃣
5⃣
1⃣
1⃣
😀
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
3000 тыс.руб.
🔎
0406AK2356
расчёт 07.06.2026г.
💵
77"
2704,https://t.me/AutoWorld_Georgia/2704,2026-06-08T06:05:21+00:00,Грузия,Buick,Encore GX,2022,Select,35500ml,1.3l на 155HP,155.0,,CVT,передний  FWD,"""90% завод""",комбинированный,,KL4MMDSL3PB079287,,,,,,08.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/main-1790168632019-main-1-4efbe486.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168633244-other-2-cf4512a6.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168634308-other-3-f5aaa57a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168635188-other-4-cc5d054e.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168635817-other-5-ca10658b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168636682-other-6-7647e474.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168637570-other-7-51879333.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168638453-other-8-3047084a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168639703-other-9-bd161c47.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2704/other-1790168640357-other-10-a8acb2dc.jpg,"🤩
🤩
🤩
🤩
🤩
🤩
до
1⃣
6⃣
🤩
🌟
Buick Encore GX 11/22г.
🚗
✨
1️⃣
🤩
7️⃣
7️⃣
🔤
🔤
🔤
🔹
комплектация
Select
🔹
Пробег:  35500ml
👍
🔹
Двигатель: 1.3l на 155HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод: передний  FWD
🔹
Безопасность ""90% завод""
🛡
🔹
Салон комбинированный
🛋
📜
История автомобиля
👇
KL4MMDSL3PB079287
🔎
0706АИА0937
расчёт 08.06.2026г.
💵
77"
2713,https://t.me/AutoWorld_Georgia/2713,2026-06-08T11:35:13+00:00,США,на,,2006,SE,25400ml,"1,5L на 152HP",152.0,,CVT,полный АWD,"""",кожа,"""незначительные""",JA4ATWAA2PZ049786,09.06.2026,,2000000,,,08.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/main-1790168642224-main-1-3d8243c6.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168643572-other-2-8663df94.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168645096-other-3-f20336f4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168646838-other-4-fb7aefda.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168648512-other-5-f85c25f3.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168649759-other-6-7e1bf82f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168650970-other-7-a887252f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168651982-other-8-8dbf3db2.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168652865-other-9-a12f2e10.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2713/other-1790168654191-other-10-b8e5e6fd.jpg,"👤
👤
👤
👤
👤
👤
👤
на 09.06
🌟
Mitsubishi Eclipse 03/23г.
🚙
✨
1️⃣
🤩
8️⃣
7️⃣
🔤
🔤
🔤
*
🔹
комплектация
SE
🔹
Пробег:
25400ml
👍
🔹
Двигатель:
1,5L на 152HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод:
полный АWD
🔹
Безопасность: ""
90% завод
""
🛡
🔹
Салон
кожа
🛋
🔹
Повреждения
""незначительные""
📜
История автомобиля
👇
JA4ATWAA2PZ049786
⚖️
🛎
Торги 09.06.2026г.
+- 11000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 2.0 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
230тыс.руб.
🔎
1-51207186
расчёт 08.06.2026г.
💵
77
https://max.ru/c/-71046904611051/AZ6nBtSWNP8"
2724,https://t.me/AutoWorld_Georgia/2724,2026-06-09T09:46:13+00:00,США,на,,2006,XLT,30400ml,"6.7l, на 475HP",475.0,,AКПП-10,полный АWD,"""завод""",надежный текстиль,…,,,,,,,,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2724/main-1790168654792-main-1-e79ad4e2.jpg,"👤
👤
👤
👤
👤
👤
👤
на 08.06
🌟
FORD F350 Super Duty 05/25г.
🚙
✨
6️⃣
🤩
1️⃣
3️⃣
🔤
🔤
🔤
*
🔹
комплектация XLT
🔹
Пробег: 30400ml
👍
🔹
Двигатель: 6.7l, на 475HP
🐎
💨
🔹
Коробка: AКПП-10
♦️
🔹
Привод: полный АWD
🔹
Безопасность: ""завод""
🛡
🔹
Салон надежный текстиль
🛋
🔹
Повреждения…"
2725,https://t.me/AutoWorld_Georgia/2725,2026-06-09T09:48:13+00:00,США,на,,2006,LE,26000ml,"1,8l, на 149HP",149.0,,CVT,передний FWD,"""90% завод""",кожа,"""незначительные""…",,,,,,,,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2725/main-1790168655476-main-1-b6c7acb8.jpg,"👤
👤
👤
👤
👤
👤
👤
на 08.06
🌟
Toyota Prius 11/22г.
🚙
✨
1️⃣
🤩
7️⃣
5️⃣
🔤
🔤
🔤
*
🔹
комплектация LE
🔹
Пробег: 26000ml
👍
🔹
Двигатель: 1,8l, на 149HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод: передний FWD
🔹
Безопасность: ""90% завод""
🛡
🔹
Салон кожа
🛋
🔹
Повреждения ""незначительные""…"
2726,https://t.me/AutoWorld_Georgia/2726,2026-06-09T12:05:16+00:00,США,на,,2006,,30900ml,"3,0l, на 429HP",429.0,,AКПП-9,полный 4MATIC,"""",кожа,"""",4JGFD6BBXRB088424,11.06.2026,,10500000,,,09.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/main-1790168657017-main-1-fc0d0061.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168658422-other-2-afd82b9b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168659756-other-3-a8ff4937.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168661123-other-4-746372b5.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168662451-other-5-4f136e39.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168663504-other-6-5eb3fc50.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168664699-other-7-fb167777.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168665904-other-8-7155161c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168666933-other-9-16f1418e.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2726/other-1790168667413-other-10-c2fb3c55.jpg,"👤
👤
👤
👤
👤
👤
👤
на 11.06
🌟
Mercedes-Benz GLE Coupe 09/23г.
🚙
✨
1️⃣
🔤
🤩
3️⃣
4️⃣
🔤
🔤
🔤
*
🔹
Пробег:
30900ml
👍
🔹
Двигатель:
3,0l, на 429HP
🐎
💨
🔹
Коробка:
AКПП-9
🔹
Привод:
полный 4MATIC
🔹
Безопасность: ""
завод
""
🛡
🔹
Салон
кожа
🛋
🔹
Повреждения ""
спереди
""
📜
История автомобиля
4JGFD6BBXRB088424
⚖️
🛎
Торги 11.06.2026г.
+- 55000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 10.5 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
5120 тыс.руб.
🔎
1-56791666
расчёт 09.06.2026г.
💵
76
https://max.ru/c/-71046904611051/AZ6sSEkKKfM"
2735,https://t.me/AutoWorld_Georgia/2735,2026-06-11T07:23:54+00:00,США,Toyota,Prius,2022,Nightshade,23800ml,"Hibrid1,8l на 96HP",96.0,,CVT,передний FWD,"""завод",кожа,"""сзади""",JTDKAMFUXN3168516,15.06.2026,,2000000,,,11.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/main-1790168668922-main-1-755a7944.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168670294-other-2-8acbaac6.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168671662-other-3-a02cbcc0.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168672725-other-4-70528940.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168673954-other-5-dc533044.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168675277-other-6-351de0e7.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168676309-other-7-43f136c6.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168677350-other-8-ff254fde.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168678281-other-9-217da2d2.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2735/other-1790168679490-other-10-de1953cc.jpg,"👤
👤
👤
👤
👤
👤
👤
на 15.06
🌟
Toyota Prius 01/22г.
🚙
✨
1️⃣
🤩
7️⃣
6️⃣
🔤
🔤
🔤
*
🔹
комплектация
Nightshade
🔹
Пробег:
23800ml
👍
🔹
Двигатель:
Hibrid1,8l на 96HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод:
передний FWD
🔹
Безопасность:
""завод
""
🛡
🔹
Салон
кожа
🛋
🔹
Повреждения
""сзади""
📜
История автомобиля
👇
JTDKAMFUXN3168516
⚖️
🛎
Торги 15.06.2026г.
+- 8000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 2,0 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
385тыс.руб.
🔎
1-52475016
расчёт 11.06.2026г.
💵
76
https://max.ru/c/-71046904611051/AZ61kyP9EVc"
2745,https://t.me/AutoWorld_Georgia/2745,2026-06-11T08:14:56+00:00,США,Toyota,Prius,2021,XLE AWD-E,40200ml,"Hibrid1,8l на 96HP",96.0,"топлива 3,5л",CVT,полный AWD,"""завод",кожа,"""сзади""",JTDL9MFU4N3035196,18.06.2026,,2049999,,,11.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/main-1790168680508-main-1-51ce9aa1.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168681405-other-2-097478f4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168682737-other-4-98010363.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168683752-other-5-884fe88b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168684644-other-6-18005635.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168685869-other-7-cc754f7b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168687000-other-8-a67198c5.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168688036-other-9-5117ae45.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2745/other-1790168688901-other-10-93f91e08.jpg,"👤
👤
👤
👤
👤
👤
👤
на 18.06
🌟
Toyota Prius 12/21г.
🚙
✨
1️⃣
🤩
8️⃣
5️⃣
🔤
🔤
🔤
*
🔹
комплектация
XLE AWD-E
🔹
Пробег:
40200ml
👍
🔹
Двигатель:
Hibrid1,8l на 96HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод:
полный AWD
🔹
Безопасность:
""завод
""
🛡
🔹
Салон
кожа
🛋
🔹
2 ключа
❗️
расход топлива 3,5л
‼️
🔹
Повреждения
""сзади""
📜
История автомобиля
👇
JTDL9MFU4N3035196
⚖️
🛎
Торги 18.06.2026г.
+- 8000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 2,05 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
385тыс.руб.
🔎
0-44239579
расчёт 11.06.2026г.
💵
76
https://max.ru/c/-71046904611051/AZ61wm50CLg"
2755,https://t.me/AutoWorld_Georgia/2755,2026-06-11T09:07:46+00:00,США,на,,2006,LE,16600ml,"1,8l на 139HP",139.0,,CVT,передний FWD,"""завод",текстиль,"""сзади""",5YFEPMAE7NP389221,11.06.2026,,1800000,,,11.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/main-1790168690363-main-1-c7845574.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168691586-other-2-ff62bf73.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168692953-other-3-ba5e2e42.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168694312-other-4-add4e734.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168695639-other-5-08fb6e69.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168696842-other-6-7d63f043.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168697882-other-7-f4f7ed27.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168698762-other-8-fce3738b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168699649-other-9-839374a2.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2755/other-1790168701014-other-10-d2880c4b.jpg,"👤
👤
👤
👤
👤
👤
👤
на 11.06
🌟
Toyota Corolla 11/22г.
🚙
✨
1️⃣
🤩
6️⃣
5️⃣
🔤
🔤
🔤
*
🔹
комплектация
LE
🔹
Пробег:
16600ml
👍
🔹
Двигатель:
1,8l на 139HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод:
передний FWD
🔹
Безопасность:
""завод
""
🛡
🔹
Салон текстиль
🛋
🔹
Повреждения
""сзади""
📜
История автомобиля
👇
5YFEPMAE7NP389221
⚖️
🛎
Торги 11.06.2026г.
+- 6000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 1,8 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
385тыс.руб.
🔎
1-54175026
расчёт 11.06.2026г.
💵
76
https://max.ru/c/-71046904611051/AZ6182jGAq8"
2766,https://t.me/AutoWorld_Georgia/2766,2026-06-12T11:33:51+00:00,США,Chevrolet,Trailblazer,2023,RS,31100ml,"1,35l на 155HP",155.0,,CVT,передний FWD,"""завод",кожа,"""град""",KL79MTSL6RB081766,15.06.2026,,2049999,,,12.06.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/main-1790168702395-main-1-26516223.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168703775-other-2-f231363f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168705122-other-3-85da3381.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168706447-other-4-3db7f4ae.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168707773-other-5-fa5bfc22.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168708802-other-6-8415c371.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168709695-other-7-06e48d01.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168710585-other-8-81af39eb.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168711147-other-9-fca6c2c4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-2766/other-1790168712535-other-10-e3f47ad1.jpg,"👤
👤
👤
👤
👤
👤
👤
на 15.06
🌟
Chevrolet Trailblazer 10/23г.
🚙
✨
1️⃣
🤩
9️⃣
6️⃣
🔤
🔤
🔤
*
🔹
комплектация
RS
🔹
Пробег:
31100ml
👍
🔹
Двигатель:
1,35l на 155HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод:
передний FWD
🔹
Безопасность:
""завод
""
🛡
🔹
Салон кожа
🛋
🔹
Повреждения
""град""
📜
История автомобиля
👇
KL79MTSL6RB081766
⚖️
🛎
Торги 15.06.2026г.
+- 12000
😀
(расчетная ставка)
Цена в России (с ремонтом) под
🔧
+- 2.05 млн. руб.
*
стоимость автомобиля,
с учётом таможенных платежей
в размере
201тыс.руб.
🔎
1-53161246
расчёт 12.06.2026г.
💵
76
https://max.ru/c/-71046904611051/AZ67mofhVpA"
